date,asin,Spend,adGroupName,ams_orders,campaignId,14 Day Total Units (#),Impressions,raw_sku,adGroupId,14 Day Total Sales (₹),Clicks,campaignName,sku,model,brand,category_l0,category_l1,category_l2
2026-07-01,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-07-02,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-07-03,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-07-04,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-07-05,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-07-06,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-07-07,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-07-08,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-07-09,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
2026-07-10,B0D2P7WLJB,0.0,Conversions,0,332009196817524,0,0,FBA79374,531997062358449,0.0,0,Nex_HPC_SD_ET-01/ET-02/ETC-07_PRM_30,FBA79374,ET-02-GN,Nexlev,HPC,Oral Care,Electric Toothbrush
